Year,Happiness Rank,Happiness Score,Region,Country,Standard Error,Upper Confidence Interval,Lower Confidence Interval,Dystopia Residual,Economy (GDP per Capita),Health (Life Expectancy),Family (Social Support),Trust (Government Corruption),Freedom,Generosity
2015,1,7.587,2015,Switzerland,0.03411,7.6538556,7.520144399999999,2.51738,1.39651,0.94143,1.34951,0.41978,0.66557,0.29678
2015,2,7.561,2015,Iceland,0.04884,7.6567264,7.4652736,2.70201,1.30232,0.94784,1.40223,0.14145,0.62877,0.4363
2015,3,7.527,2015,Denmark,0.03328,7.5922288,7.4617712,2.49204,1.32548,0.87464,1.36058,0.48357,0.64938,0.34139
2015,4,7.522,2015,Norway,0.0388,7.598048,7.445952,2.46531,1.459,0.88521,1.33095,0.36503,0.66973,0.34699
2015,5,7.427,2015,Canada,0.03553,7.496638799999999,7.3573612,2.45176,1.32629,0.90563,1.32261,0.32957,0.63297,0.45811
2015,6,7.406,2015,Finland,0.0314,7.467543999999999,7.344456,2.61955,1.29025,0.88911,1.31826,0.41372,0.64169,0.23351
2015,7,7.378,2015,Netherlands,0.02799,7.4328604,7.3231396,2.4657,1.32944,0.89284,1.28017,0.31814,0.61576,0.4761
2015,8,7.364,2015,Sweden,0.03157,7.425877199999999,7.3021228,2.37119,1.33171,0.91087,1.28907,0.43844,0.6598,0.36262
2015,9,7.286,2015,New Zealand,0.03371,7.352071599999999,7.2199284,2.26425,1.25018,0.90837,1.31967,0.42922,0.63938,0.47501
2015,10,7.284,2015,Australia,0.04083,7.364026799999999,7.2039732,2.26646,1.33358,0.93156,1.30923,0.35637,0.65124,0.43562
2015,11,7.278,2015,Israel,0.0347,7.346012,7.209987999999999,3.08854,1.22857,0.91387,1.22393,0.07785,0.41319,0.33172
2015,12,7.226,2015,Costa Rica,0.04454,7.3132984,7.1387016,3.17728,0.95578,0.86027,1.23788,0.10583,0.63376,0.25497
2015,13,7.2,2015,Austria,0.03751,7.2735196,7.1264804,2.5332,1.33723,0.89042,1.29704,0.18676,0.62433,0.33088
2015,14,7.187,2015,Mexico,0.04176,7.2688496,7.1051504,3.60214,1.02054,0.81444,0.91451,0.21312,0.48181,0.14074
2015,15,7.119,2015,United States,0.03839,7.1942444,7.0437556,2.51011,1.39451,0.86179,1.24711,0.1589,0.54604,0.40105
2015,16,6.983,2015,Brazil,0.04076,7.062889599999999,6.9031104,3.26001,0.98124,0.69702,1.23287,0.17521,0.49049,0.14574
2015,17,6.946,2015,Luxembourg,0.03499,7.0145804,6.8774196,1.96961,1.56391,0.91894,1.21963,0.37798,0.61583,0.28034
2015,18,6.94,2015,Ireland,0.03676,7.0120496,6.867950400000001,1.9757,1.33596,0.89533,1.36948,0.28703,0.61777,0.45901
2015,19,6.937,2015,Belgium,0.03595,7.007462,6.866538,2.41484,1.30782,0.89667,1.28566,0.2254,0.5845,0.2225
2015,20,6.901,2015,United Arab Emirates,0.03729,6.974088399999999,6.8279116,2.24743,1.42727,0.80925,1.12575,0.38583,0.64157,0.26428
2015,21,6.867,2015,United Kingdom,0.01866,6.9035736,6.8304264,1.96994,1.26637,0.90943,1.28548,0.32067,0.59625,0.51912
2015,22,6.853,2015,Oman,0.05335,6.957566,6.748434,2.47489,1.36011,0.76276,1.08182,0.32524,0.63274,0.21542
2015,23,6.81,2015,Venezuela,0.06476,6.9369296,6.683070399999999,3.19131,1.04424,0.72052,1.25596,0.11069,0.42908,0.05841
2015,24,6.798,2015,Singapore,0.0378,6.872088,6.723912,1.88501,1.52186,1.02525,1.02,0.4921,0.54252,0.31105
2015,25,6.786,2015,Panama,0.0491,6.882236,6.689763999999999,2.84848,1.06353,0.79661,1.1985,0.0927,0.5421,0.24434
2015,26,6.75,2015,Germany,0.01848,6.7862208,6.7137792,2.11569,1.32792,0.89186,1.29937,0.21843,0.61477,0.28214
2015,27,6.67,2015,Chile,0.058,6.78368,6.55632,2.67585,1.10715,0.85857,1.12447,0.12869,0.44132,0.33363
2015,28,6.611,2015,Qatar,0.06257,6.7336372,6.4883628,1.55674,1.69042,0.79733,1.0786,0.52208,0.6404,0.32573
2015,29,6.575,2015,France,0.03512,6.6438352,6.5061648000000005,2.21126,1.27778,0.94579,1.26038,0.20646,0.55011,0.12332
2015,30,6.574,2015,Argentina,0.04612,6.6643952,6.4836048,2.836,1.05351,0.78723,1.24823,0.08484,0.44974,0.11451
2015,31,6.505,2015,Czech Republic,0.04168,6.5866928,6.4233072,2.67782,1.17898,0.84483,1.20643,0.02652,0.46364,0.10686
2015,32,6.485,2015,Uruguay,0.04539,6.5739644,6.3960356,2.32142,1.06166,0.8116,1.2089,0.24558,0.60362,0.2324
2015,33,6.477,2015,Colombia,0.05051,6.5759996,6.3780004,2.85737,0.91861,0.69077,1.24018,0.0512,0.53466,0.18401
2015,34,6.455,2015,Thailand,0.03557,6.5247172,6.3852828,2.31945,0.9669,0.7385,1.26504,0.03187,0.55664,0.5763
2015,35,6.411,2015,Saudi Arabia,0.04633,6.5018068,6.320193199999999,2.43872,1.39541,0.72025,1.08393,0.32524,0.31048,0.13706
2015,36,6.329,2015,Spain,0.03468,6.3969728,6.2610272,2.12367,1.23011,0.95562,1.31379,0.06398,0.45951,0.18227
2015,37,6.302,2015,Malta,0.04206,6.3844376,6.219562399999999,1.6488,1.2074,0.88721,1.30203,0.13586,0.60365,0.51752
2015,38,6.298,2015,Taiwan,0.03868,6.3738128,6.2221872000000005,2.32323,1.29098,0.8753,1.07617,0.08129,0.3974,0.25376
2015,39,6.295,2015,Kuwait,0.04456,6.3823376,6.2076624,1.87634,1.55422,0.72492,1.16594,0.25609,0.55499,0.16228
2015,40,6.269,2015,Suriname,0.09811,6.4612956,6.076704400000001,2.79094,0.99534,0.6082,0.972,0.13633,0.59657,0.16991
2015,41,6.168,2015,Trinidad and Tobago,0.10895,6.3815420000000005,5.954458,2.26882,1.21183,0.61483,1.18354,0.0114,0.55884,0.31844
2015,42,6.13,2015,El Salvador,0.05618,6.2401128,6.0198872,3.035,0.76454,0.67737,1.02507,0.11776,0.4035,0.10692
2015,43,6.123,2015,Guatemala,0.05224,6.2253904,6.0206096,2.74255,0.74553,0.64425,1.04356,0.09472,0.57733,0.27489
2015,44,6.003,2015,Uzbekistan,0.04361,6.0884756,5.9175244000000005,2.23741,0.63244,0.59772,1.34043,0.30826,0.65821,0.22837
2015,45,5.995,2015,Slovakia,0.04267,6.0786332000000005,5.9113668,2.24639,1.16891,0.78902,1.26999,0.03431,0.31751,0.16893
2015,46,5.987,2015,Japan,0.03581,6.0571876,5.9168124,1.68435,1.27074,0.99111,1.25712,0.1806,0.49615,0.10705
2015,47,5.984,2015,South Korea,0.04098,6.0643208,5.9036792,2.21978,1.24461,0.96538,0.95774,0.07857,0.33208,0.18557
2015,48,5.975,2015,Ecuador,0.04528,6.0637488,5.886251199999999,2.53942,0.86402,0.79075,0.99903,0.1809,0.48574,0.11541
2015,49,5.96,2015,Bahrain,0.05412,6.0660752,5.8539248,1.73797,1.32376,0.74716,1.21624,0.306,0.45492,0.17362
2015,50,5.948,2015,Italy,0.03914,6.024714400000001,5.8712856,2.02518,1.25114,0.95446,1.19777,0.02901,0.26236,0.22823
2015,51,5.89,2015,Bolivia,0.05642,6.0005832,5.7794168,2.82334,0.68133,0.5392,0.97841,0.088,0.57414,0.20536
2015,52,5.889,2015,Moldova,0.03799,5.963460400000001,5.8145396,3.10712,0.59448,0.61826,1.01528,0.01615,0.32818,0.20951
2015,53,5.878,2015,Paraguay,0.04563,5.9674348,5.7885652,2.18896,0.75985,0.66098,1.30477,0.08242,0.53899,0.3424
2015,54,5.855,2015,Kazakhstan,0.04114,5.9356344000000005,5.7743656,2.24729,1.12254,0.64368,1.12241,0.08454,0.51649,0.11827
2015,55,5.848,2015,Slovenia,0.04251,5.9313196,5.7646804,1.61583,1.18498,0.87337,1.27385,0.03787,0.60855,0.25328
2015,56,5.833,2015,Lithuania,0.03843,5.9083228000000005,5.7576772,2.44649,1.14723,0.73128,1.25745,0.01031,0.21342,0.02641
2015,57,5.828,2015,Nicaragua,0.05371,5.9332716,5.7227284,2.32407,0.59325,0.74314,1.14184,0.19317,0.55475,0.27815
2015,58,5.824,2015,Peru,0.04615,5.914454,5.733546,2.5945,0.90019,0.73017,0.97459,0.05989,0.41496,0.14982
2015,59,5.813,2015,Belarus,0.03938,5.8901848,5.735815199999999,2.1309,1.03192,0.73608,1.23289,0.1909,0.37938,0.11046
2015,60,5.791,2015,Poland,0.04263,5.8745548,5.7074452,1.86565,1.12555,0.77903,1.27948,0.04212,0.53122,0.16759
2015,61,5.77,2015,Malaysia,0.0433,5.854868,5.685131999999999,1.88541,1.12486,0.72394,1.07023,0.10501,0.53024,0.33075
2015,62,5.759,2015,Croatia,0.04394,5.8451224,5.6728776000000005,2.75414,1.08254,0.78805,0.79624,0.0243,0.25883,0.05444
2015,63,5.754,2015,Libya,0.07832,5.9075072,5.6004928,2.09066,1.13145,0.7038,1.11862,0.11023,0.41668,0.18295
2015,64,5.716,2015,Russia,0.03135,5.777446,5.654554,2.27394,1.13764,0.66926,1.23617,0.03005,0.36679,0.00199
